Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.7045452904538525,0.5204023601336475,0.6973678927847153,0.5505438259756884,0:23:24,0:04:25
2,0.7008030828152875,0.5226060993815316,0.6973326200868407,0.5505438259756884,0:23:17,0:04:10
3,0.7004330633075081,0.5215753181204241,0.6993946452706729,0.5505438259756884,0:23:16,0:04:10
4,0.6996577196498496,0.5299282007535369,0.6984385417885148,0.5505438259756884,0:23:16,0:04:11
5,0.6988024792518156,0.5294661263951083,0.6971310968019225,0.5505438259756884,0:23:16,0:04:10
6,0.6971463687284132,0.5279732707755751,0.6986706145322255,0.5505438259756884,0:23:16,0:04:10
7,0.6961307552074872,0.529608303120779,0.6966769987584991,0.5505438259756884,0:23:16,0:04:10
8,0.6955200379071242,0.5279377265941575,0.6966081536777189,0.5505438259756884,0:23:15,0:04:10
9,0.6947439031881624,0.5347622094263168,0.6959888967312992,0.5505438259756884,0:23:15,0:04:10
10,0.6950269262402722,0.5329850003554429,0.6941032664408229,0.5505438259756884,0:23:15,0:04:10
11,0.69442058480302,0.533695883983793,0.6907386949103533,0.5505438259756884,0:23:14,0:04:10
12,0.6936117660124741,0.5350465628776594,0.6904132925998837,0.5505438259756884,0:23:14,0:04:10
13,0.6925322233829755,0.5368948603113677,0.6889559492344896,0.5505438259756884,0:23:14,0:04:10
14,0.6924614877519284,0.5387431577450785,0.6883584111452256,0.5505438259756884,0:23:13,0:04:10
15,0.6915752448031938,0.5383166275680691,0.6880343304714635,0.5505438259756884,0:23:13,0:04:10
16,0.6913243072021233,0.5416577806213141,0.6880299665572471,0.5505438259756884,0:23:13,0:04:10
17,0.6910768542673116,0.5424397526124991,0.6881323227192908,0.5505438259756884,0:23:13,0:04:10
18,0.6894998619057624,0.5445013151347144,0.6880449017346554,0.5505438259756884,0:23:14,0:04:10
19,0.6899873919897838,0.5472382171038614,0.6880396088574532,0.5505438259756884,0:23:15,0:04:10
20,0.6892228523000367,0.5490154261747369,0.6881266388081619,0.5505438259756884,0:23:16,0:04:10
