Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.6341363873358956,0.6681950664676184,0.6103521680992076,0.6793559394327161,0:24:47,0:04:27
2,0.5900906999451465,0.7134072652306819,0.5809220995322604,0.7264875239923216,0:24:43,0:04:27
3,0.5314741854445274,0.7499111395464605,0.5445585705468613,0.7446150565152473,0:24:42,0:04:26
4,0.488464452542792,0.7919243619819519,0.5875745368519618,0.7537854553209624,0:24:42,0:04:26
5,0.46825040331379286,0.8233098741736096,0.6655328147666277,0.7460012795905313,0:24:41,0:04:26
6,0.46264892773771066,0.8637591526267276,0.9860730823385634,0.7483471955640867,0:24:41,0:04:26
7,0.41558825941457445,0.8947892230042063,1.189895256010277,0.7455747494135223,0:24:41,0:04:26
8,0.3538531764966022,0.919812326722124,1.273220767240235,0.7444017914267446,0:24:41,0:04:26
9,0.3160020573783982,0.9321461576739938,1.3194950865904884,0.7458946470462795,0:24:41,0:04:26
10,0.2636519372945373,0.9463638302409958,1.3950359649652042,0.7468543399445517,0:24:40,0:04:26
11,0.22496791780237527,0.9556408615909616,1.447850185209663,0.7389635316698665,0:24:39,0:04:26
12,0.19195681845070559,0.9637093907727341,1.537531364298706,0.739603326935381,0:24:39,0:04:26
13,0.16885433676086145,0.9690054738039413,1.7200864951844619,0.7402431222008962,0:24:39,0:04:26
14,0.14444106261760878,0.9742660126537303,1.9041487663518721,0.7359778204307966,0:24:39,0:04:26
15,0.1073416241531813,0.980983862941638,2.020114464904773,0.7281936447003624,0:24:39,0:04:26
16,0.07155881529246885,0.9885547735835666,2.3423183438228543,0.7352313926210294,0:24:40,0:04:26
17,0.04773562643348391,0.9923224568138201,2.432165717216759,0.7330987417359786,0:24:41,0:04:28
18,0.029705328853782565,0.9955569773228127,2.5701129428607095,0.7354446577095339,0:24:43,0:04:27
19,0.018327564639036786,0.9971209213051827,2.7712790064583217,0.7371507784175737,0:24:43,0:04:27
20,0.00861853612377449,0.9984716001990478,2.874387656966887,0.7371507784175737,0:24:43,0:04:27
