Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.7707879925518115,0.5049406412170314,0.6986102306987716,0.44945617402431154,0:22:52,0:03:34
2,0.7708235634882126,0.5046918319471102,0.6880292644580053,0.5505438259756884,0:22:54,0:03:33
3,0.7682196283361428,0.5077130873675988,0.7022461675712869,0.5505438259756884,0:22:54,0:03:33
4,0.7644818530382823,0.50639795265515,0.762142742797494,0.5505438259756884,0:22:54,0:03:33
5,0.7598852901065062,0.5057226132082175,0.7238271471329858,0.5505438259756884,0:22:54,0:03:33
6,0.7545717877825838,0.5089926778986272,0.7257888925167054,0.5505438259756884,0:22:54,0:03:34
7,0.747765592590378,0.51080543115092,0.7480777562122198,0.5505438259756884,0:22:54,0:03:33
8,0.7452418393806802,0.5106277102438335,0.7654442284554148,0.5505438259756884,0:22:54,0:03:33
9,0.7417674155317534,0.5118006682306124,0.751140676948861,0.5505438259756884,0:22:54,0:03:34
10,0.7337341762461065,0.5089571337172111,0.723463138421224,0.5505438259756884,0:22:54,0:03:34
11,0.7301074931376981,0.5124760076775436,0.7258869208400248,0.5505438259756884,0:22:55,0:03:34
12,0.7262528743328736,0.512156110044786,0.71580473311193,0.5505438259756884,0:22:54,0:03:34
13,0.7218660919536378,0.5147508352882642,0.7017592284363657,0.5505438259756884,0:22:54,0:03:34
14,0.7152606394784642,0.5193360346911214,0.6961745693945991,0.5505438259756884,0:22:54,0:03:34
15,0.7080300027759987,0.5218241273903464,0.6927577621343421,0.5505438259756884,0:22:54,0:03:34
16,0.7004891708668017,0.5248809269922511,0.692708169430094,0.5505438259756884,0:22:54,0:03:34
17,0.6945354163481448,0.5308168052889733,0.6903436395958762,0.5505438259756884,0:22:54,0:03:34
18,0.6905066159697427,0.5457098173029064,0.6883690042215056,0.5505438259756884,0:22:54,0:03:33
19,0.6892156694636565,0.5488021610862293,0.6883369108765688,0.5505438259756884,0:22:53,0:03:33
20,0.6885640930076936,0.5496196772588317,0.6880563289327494,0.5505438259756884,0:22:53,0:03:33
