Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.4976496109355612,0.7603611288832104,0.40806915139587585,0.8016634676903382,0:12:52,0:02:07
2,0.3811500496453969,0.8682377194853359,0.6321219027646289,0.7923864363403706,0:12:07,0:01:51
3,0.29337656268850637,0.9226914054169404,0.8988815146990038,0.8044359138409037,0:12:07,0:01:50
4,0.22272497133629737,0.9494917182057357,1.1021681126404845,0.8010236724248229,0:12:07,0:01:50
5,0.16349781198046895,0.964420274401085,1.1794763210093964,0.7934527617828964,0:12:09,0:01:51
6,0.1264915310732428,0.9750124404634988,1.2953436697793401,0.7944124546811691,0:12:08,0:01:51
7,0.09961753768503731,0.9811260396673102,1.5659619056616185,0.7940925570484115,0:12:08,0:01:51
8,0.07823835788563592,0.9859600483400881,1.5723102042185697,0.7976114310087432,0:12:09,0:01:51
9,0.06011537244178651,0.9883770526764788,1.6602377858678652,0.7981445937300066,0:12:09,0:01:51
10,0.0500108104971373,0.99061633610578,1.6481258242358938,0.7908935807208347,0:12:08,0:01:51
11,0.0417046819649934,0.9934598706191797,1.7165364309132463,0.7972915333759858,0:12:09,0:01:51
12,0.033824635728356964,0.9937086798891029,1.7438528525712969,0.7991042866282779,0:12:09,0:01:51
13,0.02751313033419963,0.9961256842254932,1.7477972873527068,0.7970782682874805,0:12:10,0:01:51
14,0.022599158295406062,0.9959835074998231,1.8434418103308583,0.7961185753892072,0:12:09,0:01:51
15,0.016719120185697288,0.9973697305751054,2.014562739815957,0.7960119428449546,0:12:09,0:01:51
16,0.013001906855566596,0.9975119073007754,1.9731023605081033,0.7963318404777124,0:12:09,0:01:51
17,0.0109699137961371,0.9984716001990479,1.9730038906030611,0.7976114310087424,0:12:09,0:01:51
18,0.0071458957463079115,0.9987204094689706,2.107738431370586,0.7987843889955202,0:12:09,0:01:51
19,0.0046930683120936945,0.9993246605530676,2.191848301732355,0.7968650031989746,0:12:09,0:01:51
20,0.005604123001189109,0.999075851283145,2.168659912147932,0.8012369375133268,0:12:09,0:01:51
