Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.5744668349931936,0.7166240136489682,0.5183218932369162,0.7441671998293886,0:11:47,0:01:55
2,0.503690615028626,0.7851887396033348,0.6165857113044535,0.744934954148005,0:11:42,0:01:48
3,0.4774309171311673,0.8142283358214361,0.6449733369019042,0.7385156749840063,0:11:42,0:01:48
4,0.4371145901328406,0.8435700575815861,0.7113795081309626,0.7397739390061864,0:11:42,0:01:48
5,0.40564372384967196,0.8763773370299419,0.8850650620168302,0.7470249520153565,0:11:41,0:01:48
6,0.3794702665570875,0.8926210279377385,0.9558490810430801,0.736148432501602,0:11:41,0:01:48
7,0.3588754717983769,0.9029999289116469,0.955576483706657,0.7324589464704636,0:11:41,0:01:48
8,0.33159112700744414,0.9159735551290339,1.2048874197409192,0.7331840477713809,0:11:41,0:01:48
9,0.29979263338570994,0.9263524561029434,1.1323558745514875,0.733397312859886,0:11:41,0:01:48
10,0.27369794394029634,0.9373000639795313,1.1859868906825062,0.7304116016208165,0:11:41,0:01:48
11,0.24621106076874472,0.9434136631833416,1.2340685592491183,0.7295585412667959,0:11:41,0:01:48
12,0.21693521545429575,0.9518731783607054,1.3416298372739233,0.7246534442311804,0:11:41,0:01:48
13,0.18773462061607293,0.9609014004407499,1.5576117889815166,0.7214544679036047,0:11:41,0:01:48
14,0.15895526749111205,0.9671927205516463,1.597377346532365,0.7229259970142897,0:11:41,0:01:48
15,0.13453027232746517,0.9735551290253786,1.7492367514046845,0.7190019193857968,0:11:41,0:01:48
16,0.11564894776605898,0.9768962820786256,1.9036772861695859,0.7133290680315633,0:11:41,0:01:48
17,0.1010747273923815,0.9805217885832096,1.9444061239763446,0.714182128385584,0:11:41,0:01:48
18,0.09039066245776019,0.9831520580081047,1.9997829681692918,0.7173811047131587,0:11:42,0:01:48
19,0.07650336136537182,0.9847515461718921,2.0246767824105416,0.7161015141821291,0:11:41,0:01:48
20,0.06464700255835881,0.9867420203312725,2.084350298908513,0.717807634890169,0:11:42,0:01:49
