Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.6922796103117385,0.5422264875239922,0.6919773431519858,0.5505438259756884,0:23:13,0:03:40
2,0.6899637809870568,0.5481268216392974,0.6927666224048294,0.5505438259756884,0:22:48,0:03:28
3,0.6903190241296756,0.5463496125684223,0.6928050619474375,0.5505438259756884,0:22:52,0:03:28
4,0.6899061592613158,0.5451766545816444,0.6923662838612469,0.5505438259756884,0:22:52,0:03:28
5,0.6895034998928619,0.5461008032985003,0.6910315314623613,0.5505438259756884,0:22:52,0:03:28
6,0.689420616278442,0.5478780123693743,0.6902945391733678,0.5505438259756884,0:22:52,0:03:28
7,0.6892692861869203,0.5477358356437048,0.6913400619592868,0.5505438259756884,0:22:52,0:03:28
8,0.6890714231153164,0.5474870263737823,0.6897815470884644,0.5505438259756884,0:22:53,0:03:28
9,0.689027172266026,0.5481979100021324,0.6910570179203421,0.5505438259756884,0:22:53,0:03:28
10,0.688714126771283,0.5484822634534725,0.6905812729800731,0.5505438259756884,0:22:54,0:03:29
11,0.6888260665822573,0.5487310727233948,0.6897280124312246,0.5505438259756884,0:22:53,0:03:29
12,0.688753680573722,0.55022392834293,0.6891557241355618,0.5505438259756884,0:22:53,0:03:29
13,0.6887506631727944,0.5494775005331622,0.6890445619306729,0.5505438259756884,0:22:54,0:03:29
14,0.6885712677213678,0.5495841330774157,0.6896782332479534,0.5505438259756884,0:22:54,0:03:29
15,0.6884984526204057,0.5486955285419776,0.6896823177487135,0.5505438259756884,0:22:54,0:03:29
16,0.6885369937794629,0.55008175161726,0.688918442849692,0.5505438259756884,0:22:54,0:03:29
17,0.6885194037738043,0.54965522144025,0.688832059740944,0.5505438259756884,0:22:54,0:03:29
18,0.688546046706806,0.54965522144025,0.6884767551949904,0.5505438259756884,0:22:54,0:03:29
19,0.6884510236702689,0.54965522144025,0.6882151991071719,0.5505438259756884,0:22:54,0:03:29
20,0.6883358102054274,0.54965522144025,0.6880374587428776,0.5505438259756884,0:22:54,0:03:29
