Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.6923514803822652,0.5436837989621086,0.6880892829794344,0.5505438259756884,0:20:52,0:03:16
2,0.6894220596286222,0.5478424681879558,0.6881027802853575,0.5505438259756884,0:20:44,0:03:11
3,0.6897772921284625,0.5497973981659185,0.6880294795381054,0.5505438259756884,0:20:45,0:03:11
4,0.6887925948560759,0.5491576029004035,0.6880790217519188,0.5505438259756884,0:20:45,0:03:11
5,0.6886068858122057,0.5491220587189858,0.6880490811909915,0.5505438259756884,0:20:46,0:03:11
6,0.692225309832057,0.5410535295372132,0.6880573894225552,0.5505438259756884,0:20:46,0:03:11
7,0.6899676502551776,0.5472737612852757,0.6881254660114599,0.5505438259756884,0:20:45,0:03:11
8,0.6888631638318243,0.5494419563517436,0.6880307528199252,0.5505438259756884,0:20:45,0:03:11
9,0.6886595891950278,0.549619677258831,0.6880323571878142,0.5505438259756884,0:20:45,0:03:11
10,0.6885271588224011,0.5496552214402485,0.6880482106123379,0.5505438259756884,0:20:45,0:03:11
11,0.6883758851703384,0.5496552214402485,0.6881146887823777,0.5505438259756884,0:20:46,0:03:11
12,0.688427317457734,0.5496552214402485,0.688096149182823,0.5505438259756884,0:20:47,0:03:12
13,0.6883108178342322,0.5496552214402485,0.6881894185157137,0.5505438259756884,0:20:45,0:03:11
14,0.6883359217114936,0.5496552214402485,0.6882556153274239,0.5505438259756884,0:20:46,0:03:11
15,0.6883131112338485,0.5496552214402485,0.6882494241857254,0.5505438259756884,0:20:46,0:03:11
16,0.6882992018054711,0.5496552214402485,0.6882792244488356,0.5505438259756884,0:20:46,0:03:11
17,0.6882247491085242,0.5496552214402485,0.6883870474589001,0.5505438259756884,0:20:45,0:03:11
18,0.6882809229587589,0.5496552214402485,0.6883821734540064,0.5505438259756884,0:20:45,0:03:11
19,0.6882253466676511,0.5496552214402485,0.6881952886389222,0.5505438259756884,0:20:45,0:03:11
20,0.6883235999098412,0.5496552214402485,0.6880290601319101,0.5505438259756884,0:20:46,0:03:11
