Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.5381732953064451,0.7414516243690965,0.42398509638347043,0.8082746854339944,0:20:52,0:03:16
2,0.44401571792954575,0.8284993246605636,0.5386409918454095,0.8100874386862875,0:20:44,0:03:11
3,0.39791943979906197,0.8726451979811031,0.6365866345813426,0.815099168266155,0:20:44,0:03:12
4,0.3451994908838514,0.9017558825620368,0.6928844680528199,0.8003838771593081,0:20:44,0:03:12
5,0.2923012684686989,0.9234733774081276,0.9488467767178328,0.8091277457880139,0:20:44,0:03:12
6,0.24135464271214954,0.9408544821212821,0.7409588847542032,0.8184047771379825,0:20:45,0:03:12
7,0.18809419260040278,0.9568493637591557,1.02710594597269,0.8178716144167185,0:20:45,0:03:12
8,0.16249402723508427,0.9658420416577849,1.0206450698121141,0.8145660055448909,0:20:45,0:03:11
9,0.1301840860601449,0.9752257055520032,1.1568321688283176,0.8083813179782445,0:20:45,0:03:11
10,0.10774729375332695,0.9783891376981616,1.1395875717237234,0.8106206014075498,0:20:45,0:03:11
11,0.08777025251532514,0.9830098812824357,1.2447043873329064,0.8157389635316694,0:20:45,0:03:12
12,0.07750383916210887,0.9841472950877961,1.078791157034734,0.8166986564299415,0:20:45,0:03:12
13,0.06816139184815312,0.9872040946897014,1.3700695865023678,0.8139262102793764,0:20:45,0:03:12
14,0.05452361723580383,0.9901898059287706,1.3025746570629582,0.8147792706333953,0:20:44,0:03:12
15,0.04350833345311436,0.9919314708182275,1.3732011878583306,0.8139262102793762,0:20:44,0:03:12
16,0.03551525938963875,0.9933887822563456,1.46165658675013,0.8129665173811041,0:20:45,0:03:12
17,0.032108271754930515,0.9944906518802876,1.4240891924338976,0.8154190658989128,0:20:45,0:03:12
18,0.022412795260193658,0.995770242411318,1.6984389401147924,0.8154190658989123,0:20:45,0:03:11
19,0.01983345692803985,0.9971920096680175,1.6178069379699385,0.8168052889741947,0:20:44,0:03:12
20,0.015810521726655327,0.9974763631193574,1.625304149397997,0.8143527404563883,0:20:45,0:03:12
