Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.6911306947717587,0.5480201890950439,0.6881583154163373,0.5505438259756884,0:20:52,0:03:16
2,0.6908910908241926,0.5467405985640132,0.6880885485037732,0.5505438259756884,0:20:52,0:03:13
3,0.6891135520506932,0.5487310727233934,0.688059242162198,0.5505438259756884,0:20:52,0:03:13
4,0.6890315537540154,0.5490865145375684,0.6880399522991876,0.5505438259756884,0:20:53,0:03:13
5,0.6887431919739988,0.5494775005331608,0.6880292633520969,0.5505438259756884,0:20:53,0:03:13
6,0.6887830113596844,0.5496907656216657,0.6880450447019063,0.5505438259756884,0:20:53,0:03:13
7,0.6885439288415337,0.5497618539845007,0.6880487974301714,0.5505438259756884,0:20:52,0:03:13
8,0.6886211054415102,0.5497973981659184,0.6880939860261562,0.5505438259756884,0:20:53,0:03:13
9,0.6884596454459077,0.5492997796260735,0.688182110673559,0.5505438259756884,0:20:53,0:03:13
10,0.6884442877098298,0.5497263098030835,0.6881303133982843,0.5505438259756884,0:20:53,0:03:13
11,0.6882852645132886,0.5496196772588311,0.6882598077114469,0.5505438259756884,0:20:52,0:03:13
12,0.6884221981954259,0.5495841330774135,0.6882714021305053,0.5505438259756884,0:20:53,0:03:13
13,0.6883032549975854,0.549406412170326,0.6883196110383716,0.5505438259756884,0:20:53,0:03:13
14,0.6883634045119478,0.5497618539845008,0.6884897907269893,0.5505438259756884,0:20:53,0:03:13
15,0.688243698606005,0.5495130447145785,0.6884247706779973,0.5505438259756884,0:20:52,0:03:13
16,0.6882438306412887,0.5497263098030835,0.6885541494046734,0.5505438259756884,0:20:52,0:03:13
17,0.6882391403697147,0.5495485888959959,0.6882663158674844,0.5505438259756884,0:20:52,0:03:13
18,0.6882581427982556,0.5496907656216659,0.6884280042776448,0.5505438259756884,0:20:52,0:03:13
19,0.6884087819258881,0.5496552214402485,0.6882375802890048,0.5505438259756884,0:20:52,0:03:13
20,0.688373613965158,0.5495841330774135,0.6880573744737255,0.5505438259756884,0:20:53,0:03:13
